Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
77,23,0,61,2,Some Random Commen with Id 77
78,23,0,35,8,Some Random Commen with Id 78
79,23,0,1,4,Some Random Commen with Id 79
80,23,0,122,7,Some Random Commen with Id 80
81,23,0,172,3,Some Random Commen with Id 81
82,23,0,97,0,Some Random Commen with Id 82
83,23,0,38,1,Some Random Commen with Id 83
84,23,0,181,1,Some Random Commen with Id 84
85,25,7,72,3,Some Random Commen with Id 85
86,25,7,131,3,Some Random Commen with Id 86
87,25,7,83,9,Some Random Commen with Id 87
88,26,3,84,6,Some Random Commen with Id 88
89,26,3,19,6,Some Random Commen with Id 89
90,26,3,136,6,Some Random Commen with Id 90
91,26,3,24,9,Some Random Commen with Id 91
92,26,3,12,7,Some Random Commen with Id 92
93,27,2,158,7,Some Random Commen with Id 93
94,27,2,97,0,Some Random Commen with Id 94
95,27,2,126,7,Some Random Commen with Id 95
96,27,2,99,4,Some Random Commen with Id 96
97,27,2,172,2,Some Random Commen with Id 97
98,27,2,171,9,Some Random Commen with Id 98
99,27,2,116,3,Some Random Commen with Id 99
100,27,2,37,5,Some Random Commen with Id 100
101,27,2,196,1,Some Random Commen with Id 101
102,28,4,86,1,Some Random Commen with Id 102
103,28,4,153,4,Some Random Commen with Id 103
104,28,4,56,3,Some Random Commen with Id 104
105,28,4,12,7,Some Random Commen with Id 105
106,28,4,73,3,Some Random Commen with Id 106
107,29,1,70,5,Some Random Commen with Id 107
108,29,1,88,2,Some Random Commen with Id 108
109,29,1,139,6,Some Random Commen with Id 109
110,29,1,34,5,Some Random Commen with Id 110
111,29,1,45,1,Some Random Commen with Id 111
112,29,1,88,1,Some Random Commen with Id 112
113,30,9,170,0,Some Random Commen with Id 113
114,30,9,181,1,Some Random Commen with Id 114
115,30,9,107,3,Some Random Commen with Id 115
116,31,1,18,2,Some Random Commen with Id 116
117,32,9,52,1,Some Random Commen with Id 117
118,32,9,76,1,Some Random Commen with Id 118
119,32,9,92,0,Some Random Commen with Id 119
120,32,9,90,6,Some Random Commen with Id 120
121,32,9,124,2,Some Random Commen with Id 121
122,32,9,38,5,Some Random Commen with Id 122
123,32,9,61,5,Some Random Commen with Id 123
124,32,9,114,4,Some Random Commen with Id 124
125,33,1,99,3,Some Random Commen with Id 125
126,33,1,52,4,Some Random Commen with Id 126
127,33,1,28,7,Some Random Commen with Id 127
128,33,1,191,8,Some Random Commen with Id 128
129,33,1,150,6,Some Random Commen with Id 129
130,33,1,73,4,Some Random Commen with Id 130
131,34,7,138,6,Some Random Commen with Id 131
132,34,7,34,5,Some Random Commen with Id 132
133,34,7,134,1,Some Random Commen with Id 133
134,34,7,76,2,Some Random Commen with Id 134
135,34,7,160,6,Some Random Commen with Id 135
136,34,7,101,1,Some Random Commen with Id 136
137,34,7,9,0,Some Random Commen with Id 137
138,34,7,30,4,Some Random Commen with Id 138
139,35,0,7,1,Some Random Commen with Id 139
140,35,0,31,4,Some Random Commen with Id 140
141,35,0,43,6,Some Random Commen with Id 141
142,35,0,12,9,Some Random Commen with Id 142
143,36,2,98,8,Some Random Commen with Id 143
144,36,2,68,0,Some Random Commen with Id 144
145,36,2,43,7,Some Random Commen with Id 145
146,36,2,21,8,Some Random Commen with Id 146
147,36,2,108,3,Some Random Commen with Id 147
148,36,2,57,1,Some Random Commen with Id 148
149,36,2,64,0,Some Random Commen with Id 149
150,37,1,89,5,Some Random Commen with Id 150
151,37,1,190,9,Some Random Commen with Id 151
152,37,1,158,8,Some Random Commen with Id 152
153,37,1,116,3,Some Random Commen with Id 153
154,37,1,152,2,Some Random Commen with Id 154
155,39,7,59,7,Some Random Commen with Id 155
156,39,7,154,5,Some Random Commen with Id 156
157,39,7,140,9,Some Random Commen with Id 157
158,39,7,4,2,Some Random Commen with Id 158
159,39,7,132,3,Some Random Commen with Id 159
160,39,7,169,3,Some Random Commen with Id 160
161,39,7,164,9,Some Random Commen with Id 161
162,39,7,175,3,Some Random Commen with Id 162
163,39,7,12,3,Some Random Commen with Id 163
